fold,outer_patients,outer_pairs,f1_at_05,f1_inner_tuned,threshold,dice_mean,iou_mean,sensitivity,specificity,precision,npv,accuracy,balanced_accuracy,f1,mcc,roc_auc,pr_auc,brier_score,ece
1,22,41,0.5142857142857142,0.4186046511627907,0.0004610978940036148,0.1177310452794944,0.06636546146696737,0.9,0.22580645161290322,0.2727272727272727,0.875,0.3902439024390244,0.5629032258064516,0.4186046511627907,0.13632697454381432,0.8,0.7187519896982811,0.3643975317666748,0.37002910909696524
2,22,45,0.46153846153846156,0.6206896551724138,0.0044945525005459785,0.002054220222915693,0.00103544828074576,0.9,0.7142857142857143,0.47368421052631576,0.9615384615384616,0.7555555555555555,0.8071428571428572,0.6206896551724138,0.5170600255121729,0.8485714285714285,0.7340206577048682,0.14594858257987678,0.14689910038788287
3,21,40,0.0,0.4888888888888889,0.001527990447357297,7.068947905979101e-05,3.53515483078534e-05,1.0,0.20689655172413793,0.3235294117647059,1.0,0.425,0.603448275862069,0.4888888888888889,0.25872208965501264,0.780564263322884,0.7250841397164927,0.2537975786362163,0.2604911601869389
4,21,40,0.7777777777777778,0.5405405405405406,0.00012119224993512034,1.1419044682721844e-05,5.709717939933767e-06,1.0,0.43333333333333335,0.37037037037037035,1.0,0.575,0.7166666666666667,0.5405405405405406,0.4006168083848877,0.9433333333333334,0.8977704678362574,0.09627488667623454,0.09714353103076974
5,21,36,0.0,0.4444444444444444,0.3595356047153473,1.033393063452401e-06,5.166981335830018e-07,0.8888888888888888,0.2962962962962963,0.2962962962962963,0.8888888888888888,0.4444444444444444,0.5925925925925926,0.4444444444444444,0.18518518518518517,0.5390946502057613,0.29078452270023153,0.21174655577039742,0.15781563189294606
