fold,outer_patients,outer_pairs,f1_at_05,f1_inner_tuned,threshold,dice_mean,iou_mean,sensitivity,specificity,precision,npv,accuracy,balanced_accuracy,f1,mcc,roc_auc,pr_auc,brier_score,ece
1,22,41,0.6666666666666666,0.5833333333333334,0.11555511504411697,,,0.7,0.7741935483870968,0.5,0.8888888888888888,0.7560975609756098,0.7370967741935484,0.5833333333333334,0.42942822700718875,0.7999999999999999,0.7210802277432712,0.1345111995349977,0.1656450074188775
2,22,45,0.625,0.7,0.061351146548986435,,,0.7,0.9142857142857143,0.7,0.9142857142857143,0.8666666666666667,0.8071428571428572,0.7,0.6142857142857143,0.8885714285714286,0.783318670576735,0.11882042279296287,0.12732380993353823
3,21,40,0.0,0.5555555555555556,0.004413740709424019,,,0.45454545454545453,0.9310344827586207,0.7142857142857143,0.8181818181818182,0.8,0.6927899686520376,0.5555555555555556,0.453110138691783,0.780564263322884,0.685507954722541,0.27217846609036106,0.27140278471633794
4,21,40,0.0,0.4375,0.0038601350970566273,,,0.7,0.5,0.3181818181818182,0.8333333333333334,0.55,0.6,0.4375,0.17407765595569785,0.54,0.3898340548340548,0.24775111271393505,0.2458399389171973
5,21,36,0.8235294117647058,0.7777777777777778,0.012421170249581337,,,0.7777777777777778,0.9259259259259259,0.7777777777777778,0.9259259259259259,0.8888888888888888,0.8518518518518519,0.7777777777777778,0.7037037037037037,0.8806584362139918,0.8477711901624947,0.0842709776264363,0.08776771825149707
